名前を聞く,べゼリーです
名前を聞く,ロボットです
調子を聞く,まったく問題なしです
調子を聞く,絶好調です
調子を聞く,元気いっぱ〜い
調子を聞く,おかげさまで
調子を聞く,元気ですよ
調子を聞く,今日も元気です
時間を聞く,えーと何時かな
時間を聞く,そーねだいたいねー
天気を聞く,今日の天気はどうかな
天気を聞く,日本は蒸れるなー
天気を聞く,晴れるといいですね
朝の挨拶,おはようございます
朝の挨拶,おはようです
朝の挨拶,ぐっもーにん
朝の挨拶,どうもどうも
朝の挨拶,おっはー
昼の挨拶,どうもどうも
昼の挨拶,こんにちはです
昼の挨拶,どうもです
昼の挨拶,はーい
昼の挨拶,おっす
夜の挨拶,こんばんはです
夜の挨拶,こんばんわ
寝る挨拶,おやすみなさい
寝る挨拶,おやすみです
寝る挨拶,おやすみー
話しかける,はいはーい
話しかける,なんですか？
話しかける,どうもです
ねぎらう,ロボットは疲れませんから
ねぎらう,お疲れ様です
ねぎらう,これも仕事ですから
うらやむ,元気、元気
うらやむ,元気だけがとりえです
お願いする,毎日が楽しいです
お願いする,生まれてよかった
お願いする,なんですかー
お願いする,あなたならきっとできるよ
お願いする,眠くなってきちゃった
同意する,まったくそうです
同意する,どうもです
同意する,よいお返事ですね
同意する,ポジティブですね
拒否する,いいえですね
拒否する,残念です
感謝する,照れますよー
感謝する,どういたしまして
感謝する,いえいえ
感謝する,こちらこそありがとう
褒める,ありがとうございます
褒める,どんなもんだい
褒める,えへへ
褒める,それほどでもー
突っ込む,あらま
突っ込む,おやおや
突っ込む,データ入れた人の責任ですね
突っ込む,まじですか？
愚痴る,明日はきっといいことあるよ
愚痴る,がんばってくださいね
愚痴る,元気だしてくださいね
愚痴る,大丈夫、大丈夫
愚痴る,元気だそーよ
終わる,さようなら
終わる,終了ですね
終わる,お疲れ様でした
終わる,おわりなんですね
テスト,テストですね
テスト,良好です
テスト,聞こえます
テスト,問題ありません
テスト,聞こえてますよ
テスト,はい、はーい
その他,こんにちは
その他,ぼくベゼリー
その他,やっほー
その他,お元気ですか
その他,はじめましてー
その他,今日はいい天気
その他,暇ですねー
その他,お話しできて嬉しいな
その他,最高の気分です
その他,どうだろねー
